Tabel 1
Section;Button;Code
navigation;right;JgD6AFQcDRANEA0fDR4rHg4PDhANEA0QDRANEBweDg8ODw4QGxAODw4eDRAcHg4QGxAOHg0QHB4cEA0fHA8OAAjtWRsODw4QDR4OHiofDRANEA0QDRAODw4PHB8NEA0QDRAcEA0QDR8QDRweDRAcEA0eDhAbHxwQDR4fDQ0ACLcILlkcDRANEA0fDR4rHg0QDg8ODw4QDRANEBweDRAODw4QGxANEA4eDRAcHg4QGxANHw0QHB4cEA0fGxAOAAjtVh4NEA0QDR8NHyoeDhANEA0QDRANEA0QHB4OEA0QDRAcDw4QDR4ODxwfDRAcEA0eDRAcHhwQDh4cEA0ADQU=
navigation;ok;JgDAAFAfDRAODw8dDR4rHg4PDw4OEA4PDRANEBweDg8OEA4PHA8OEA0eDRAcHw4PHQ4PHQ8OHB8bEA8ODh4PDg4ACOVWHg0QDw8NHg4eKh8NEA0QDRAPDg4PDhAdHQ0QDw4ODxwQDRAOHg0QHB4NEBwQDR8NEBweHBANEA0fDw4NAAjmVR8PDg4PDx0NHyoeDg8OEA0QDRANEA0QHB8NEA0QDRAcDw8PDR4ODxwfDw4cEA0eDRAcHxsQDhANHg8ODgANBQ==
navigation;return;JgDAAFMcDg8QDRAcDx0qHw0QDRAPDhANDw4PDh4dEA0PDhANHw0QDQ8ODx0eHBANHBAQHBweDRAQDRANDg8fDQ4ACO1ZHA0QDw4QHA8dKh4ODxAODw4QDQ8ODw4fGw4QEA0QDR4ODw4PDg8dHB4PDh4OEBseHQ8ODRANEA8OHBAPAAjsWB0NEBANDR8QGyseDg8QDg8OEA0QDRANHxsODw4QEA0dDhAODw4PHRsfDRAcEA0eHxwQDRANDw4PDhwQEAANBQ==
navigation;exit;JgAsAVIdDRAODw4eDR8rHg4PDRAODw8ODw4PDh4dDRANEA0QHQ8ODw4eDg8dHQ0QHQ8OHg0QHR0dHR4dHQAI7FYfDg8ODw8dDxwrHg0QDw8NEA4PDg8PDh0dDg8PDw4PHQ4PDw4dDRAeHQ0QHQ4PHQ0QHh0bHxweHQAI7VcdDRAODw4eDR8qHw0QDg8PDg8ODg8PDx0dDw4PDg8OHQ8ODw8dDg8dHQ0QHQ8PHQ4PHR0dHR0eGwAI7lgdDRAPDg8dDR8rHQ0QDw8ODw4PDw4PDh0dDREODw4PHQ8ODw4dDhAdHQ0QHQ8OHQ8OHh0bHx0dHAAI71cdDRANEA4eDR4sHQ0QDw4PDw4PDg8NEBweDRAODw8PHQ4PDg8dDw4dHQ4QHQ4PHQ0QHR0cHxsfHAANBQ==
navigation;menu;JgD4AFAfDRANEA0fDR8qHg4QDQ8OEA0QDRANEBweDhANEA0QHBANEA0QDR8bHw0QHBANHg4QGx8cHhweDg8OAAjlWBwOEA0QDR4OHiseDRANEA0QDg8OEA0QHB4NEQwQDg8cEA0QDRAOHhweDg8cEA4eDRAcHhweHCAMEA0ACOVZHA8ODRANHw0eKx8NDw4QDRANDw4QDRAcHg4QDRANEBwPDg8OEA0eHB4OEBsQDh4NEBweHB8cHg0QDQAI5VYfDRANEA0fDR4rHg4PDhANEA0QDRANEBweDg8OEA0QHA8OEA0QDR8bHw0RGxANHg0QHB4cHxweDRANAA0F
option;red;JgD4AFMcDg8ODw4eDR8sHQ8ODRANEA0RDBAODxwfDRANEA0QHBANEA0fDRAcHg0QHBANHw0QHA8OHhwQDR8bAAjuVh4PDw0QDR4OHiofDRANEA0QDg8OEA0QGx8NEA0QDREbEA0QDR8NEBweDg8cEA0fDRAcEA0eHBANHxwACO1WHg4PDhANHw0eKh8NEA0QDRANEA4PDhAbHw0QDRANEBwQDRANHw0QHB4NEBwQDR8NEBwPDh4cEA0fGwAI7lkbDhANEA0eDh4rHg0QDRENDw4QDRANEBweDRANEQ0PHBANEA4eDRAcHg4QGxANHw0QHBANHhwQDR8cAA0F
option;green;JgDAAFMcDRANEA0fDR4rHg4PDhANEA0QDRANEBweDhANDw4QHA8OEA0QDR4cHw0QHA8OHg0QHBANHxwPDhANHg0ACOVXHg0QDRAOHg0fKh8NEA0QDRANEA0RDBAcHw0QDRANEBwQDRANEA0fGx8NEBwPDh4ODxwODx8cEA0QDR4OAAjoVRwNEA0QDh4NHyoeDhANEA0QDRANEA0QHB8NEA0QDRAcEA0QDRANHxsfDRAcEA0eDhAbEA4eHBANEA0eDgANBQ==
option;yellow;JgDAAFEeDRAODw4fDB8qHw0QDRANEA0QDRAODxwfDQ8OEA0OHhANEA0eDhAcHg0QHBANHg4QGxAOHhwQDRANEA0ACO5YHA0QDRAOHg0fKh4OEA0QDRANEA0QDRAcHg4QDRANEBwQDRANHg4QGx8NEBwQDR4ODxwQDR8cDw4QDRANAAjtWRsOEA0QDR4OHi0cDRANEA4PDhANEA0QHB4NEA0QDg8cEA0QDR8NEBweDg8cEQwfDRAcDw4eHBANEA0QDgANBQ==
option;blue;JgDGAFEfDRANEA0fDR4rHg4PDhANEA0QDRANEBweDg8OEA0QHA8OEA0QDR4cHw0QHA8OHg0QHBANEA0fDRANEA0QDQAI5VYeDw8NEA0eDx0qHw0QDRANEA0QDhANEBsfDRANEA0QHA8OEA0QDR8cHg0QHBANHw0QHA8OEA0eDg8OEA0QDQAI5lUeDRAODw4eDR8qHg4QDRANEA0QDRANEBweDhANEA0QHBANEA0QDR4cHw0QHBANHg4PHBANEA0fDRANEA0QDgANBQ==
option;info;JgAIAVEeDhAODw4dDR8qHw0QDg8ODw4PEA4ODxsfDRAODw4PHQ8ODw4PDx0cHg0QHQ8OHg0QDg8ODw4PHQ8ODw0QDgAI7lYeDRAODw4eDR4sHQ0QDw4PDw4PDRAODx0dDg8PDw0QHQ4PDg8PDh0cHw4PGxAPHQ0QDw4OEA4PHQ4PDw4PDgAI7lQfDRAODw4eDR8qHg4QDg8ODw4PDg8ODx0dDhAODw4PHQ4PDw0QDh0cHw0QHA8OHg0QDw4PDw4PHQ4PDw4PDgAI7VUfDRAODw8dDR8qHw4PDg8ODw4PDg8ODxwfDg8ODw4PHBAODw4PDh4bHw4PHQ8OHQ0QDw8ODw0QHQ8ODw0QDgANBQ==
player;play_back;JgA2AVYcDg8OEA0eDh4qHw0QDRAQDQ4PDg8ODxwfDRAQDRANHw0PDg0fEA0cHg0QHw0NHw0QDw4eHBweDg8eAAjsWBwODxANEBwPHSseDw4PDg8OEA0PDg8PGx8PDhANDRAfDQ8ODx0NEBweDRAcEA8dDw4NEBweHB4RDBwACPBXGw4PDw8PHA0fKh8QDQ0QDw4QDQ8OEA0fHA8ODRAQDRwQEA0QHA0QHhwQDR4OEBsOEBANHhweHA8OHgAI7FkbDw4PDhAcDR8qHhANEQ0PDhANDRAQDRweDw4RDQ8OHQ4OEA0eDg8eHQ0QHQ8QGxANFQgfHB0dDRAeAAjuVhsOEBANDxwPHSseDw4QDQ0QDw4QDRENHB4QDRANEA0eDhANDx0NEB0dDRAeDg8dEA0PDhweHB4ODxwADQU=
player;play_pause;JgDGAFEfDRAQDRAcDR8qHg4PDw8QDRANDw4PDh4cDg8OEA0QHQ4OEA8ODxweHRANHQ4PHRANDw4cEA0fDw4NEBANDwAI5FcdDRANEA8dDx0sHRANDw4PDg8ODw4NEBwfDw4PDg8OHg4QDQ8ODx0dHRANHQ8NHhANEA4dDhAcDw4PDhANEAAI5FYdDRANEA8dDR8qHg4PDhAPDg8ODRAPDhweDhAPDg8OHQ4OEA8ODR4eHQ0QHBANHg4PDw4fDRAcDRANEA0QDgANBQ==
player;play_play;JgAAAVIeDRANEA8dDR8qHg4QDRANEBANDw4NEB8cDRANEA8OHg4NEA0eDhAbHw0QHBAQGw4PEQ0cHhwQEBsODxAACONZGw4PEA4NHg4eKh8NEA0QEAoQEBANDhAbHw0QEA0NEB4ODRANHw0QHhwPDh8NDR8NEBANHhwcEA8cEA4NAAjlWBwNEBAKFBsQHC0bDhAQDQ0QDw4PDhANHB8NEA8ODRAcEA0QEBsQDhsfDRAeDhAbDg8RDRweHBANHg4PEAAI41YeDRAQDRAcDR4tHA8ODhAPDg8OEA0QDRweDg8QDg8OHA8ODxEbDg8cHw0QHA8OHg8OEA0cHxsQDx0NEBAADQU=
player;play_forward;JgAAAVQcDw4RDBAcDh4qHw0QEA0NEA0QDg8ODx8cDRAPDhANHBAPDhANDx0cHg0QHwoQHw0QDw4fGxweEA4QDRAACOJZHA8OEA0QHA0eKx4NEA8OEA0QDg0QEA0cHg0QEA0PDhwQEA0ODxAcHB4OEB4NDR8NEA0QHB4fHBANDRAQAAjiWB0NEBANEBwNHiseDRAPDhANEQ0QDQ0QHhwPDhANDw4eDg8OEA0PHRweDg8fDRAcDw4QCx4eHB8PDg8ODwAI5FgcDRAPDhAcDR4rHg0QEA0ODxAODRAPDh4cDg8QDQ4PHg4QDRENDR4cHhENHA8QHA0QEA0cHxsfDw4QDRAADQU=
player;play_stop;JgAAAVQbEA0QDg0eDh4qHw0QEA0PDg4PDg8QDRwfDRAQChIOHBAQDQ0fDRAfGw0QHg4QHA0QEA0dDw0eDw4ODxwACO5YHA0QDw4RGw0fKh8PDhANDw4QDQ8ODw4cHw0QEA0QDR4OEA0PHA4QHhwNEBwQEBsODxAOHg0OHg0QDw4eAAjrVh8NEBANDR8NHiseDRAQDQ8OEQ0QDQ0QHhwPDhANDhAbEA4PEBwQDRweDg8eDhAcDRAQDR4ODx0PDhANHgAI7FUeDg8RDQ8cEBwrHg0QEA0QDQ8OEA0QDhweDw4PDhANHBAQDRAcDRAeHA0QHw0QHA0QDw4dDxAbDg8QDR4ADQU=
